                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3956,                 3.1738,                 1.2272,                0.64134,                0.22574,                 0.2343,                0.13121,                 1.1975,                 2.7527,                 1.1518,             0.00019456,             0.00019456,             0.00019456
                      2,                 1.2336,                 1.9903,                 1.1114,                0.44241,                0.45406,                0.42063,                0.25894,                 1.1131,                 2.2477,                  1.102,             0.00038669,             0.00038669,             0.00038669
                      3,                 1.2176,                 1.7637,                 1.0943,                0.50572,                0.49747,                0.49165,                0.30467,                 1.1132,                 2.1521,                   1.13,             0.00057494,             0.00057494,             0.00057494
                      4,                 1.1858,                 1.6521,                 1.0839,                 0.5365,                0.54169,                0.54218,                0.33886,                 1.1745,                 1.9928,                 1.1466,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1685,                 1.5281,                 1.0782,                0.50658,                0.49413,                0.57143,                0.36939,                  1.177,                 1.8419,                 1.1382,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.1428,                 1.4184,                  1.069,                0.67355,                0.58427,                0.65443,                0.42098,                 1.0932,                 1.7892,                 1.1044,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1146,                 1.3312,                 1.0588,                0.62409,                0.61972,                0.67681,                0.45242,                 1.0685,                 1.5889,                   1.09,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.0968,                 1.2911,                 1.0497,                0.60781,                0.63306,                0.65709,                0.44315,                 1.0963,                 1.5881,                 1.1199,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.1044,                 1.2541,                 1.0561,                0.73111,                0.64547,                0.69948,                0.46074,                 1.0498,                 1.6172,                 1.0747,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0718,                 1.2027,                 1.0409,                0.66661,                0.66144,                0.70556,                0.47604,                 1.1127,                 1.4308,                 1.1221,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.0737,                 1.1396,                 1.0344,                0.65573,                0.68693,                0.71453,                0.48125,                 1.0391,                 1.4322,                 1.0702,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0498,                 1.1167,                 1.0293,                0.68111,                0.74309,                0.72201,                0.48994,                 1.1823,                 1.6291,                 1.2433,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0466,                 1.1017,                 1.0289,                0.65353,                0.68018,                0.69093,                0.46902,                 1.1363,                 1.4478,                 1.1029,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0394,                 1.0768,                 1.0232,                0.67207,                0.74099,                0.74785,                0.51783,                0.98818,                 1.2173,                  1.037,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0186,                 1.0604,                 1.0156,                0.70646,                0.66181,                0.71001,                  0.492,                0.99048,                 1.3866,                 1.0453,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0184,                 1.0439,                 1.0127,                0.61651,                0.72435,                0.72064,                0.49077,                 1.0323,                 1.5446,                  1.067,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0041,                 1.0093,                 1.0061,                0.69541,                0.71531,                 0.7375,                0.52708,                   1.02,                 1.2509,                 1.0516,             0.00050068,             0.00050068,             0.00050068
